motorway,datetime,station,direction,light_count,heavy_count
ΑΙΓΑΙΟΥ,2025-12-28 23:00:00+02:00,ΠΕΛΑΣΓΙΑ,ΑΘΗΝΑ,75,47
ΑΙΓΑΙΟΥ,2025-12-28 23:00:00+02:00,ΠΕΛΑΣΓΙΑ,ΘΕΣΣΑΛΟΝΙΚΗ,47,23
ΑΤΤΙΚΗ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΚΑΤΕΧΑΚΗ,-,408,2
ΑΤΤΙΚΗ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΚΟΡΩΠΙ,-,1350,16
ΑΤΤΙΚΗ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΜΕΤΑΜΟΡΦΩΣΗ,ΑΕΡΟΔΡΟΜΙΟ,986,14
ΑΤΤΙΚΗ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΜΕΤΑΜΟΡΦΩΣΗ,ΕΛΕΥΣΙΝΑ,121,22
ΑΤΤΙΚΗ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΡΟΥΠΑΚΙ,-,429,19
ΓΕΦΥΡΑ,2025-12-28 23:00:00+02:00,ΑΝΤΙΡΡΙΟ,ΡΙΟ,109,0
ΓΕΦΥΡΑ,2025-12-28 23:00:00+02:00,ΡΙΟ,ΑΝΤΙΡΡΙΟ,130,0
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΑΚΤΙΟ,ΗΓΟΥΜΕΝΙΤΣΑ,15,6
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΑΚΤΙΟ,ΛΑΜΙΑ,43,4
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΑΝΑΛΗΨΗ,ΗΓΟΥΜΕΝΙΤΣΑ,87,13
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΑΝΑΛΗΨΗ,ΚΗΠΟΙ,111,22
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΘΕΣΣΑΛΟΝΙΚΗ,ΗΓΟΥΜΕΝΙΤΣΑ,155,9
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΘΕΣΣΑΛΟΝΙΚΗ,ΚΗΠΟΙ,125,44
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΙΑΣΜΟΥ,ΗΓΟΥΜΕΝΙΤΣΑ,28,4
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΙΑΣΜΟΥ,ΚΗΠΟΙ,68,9
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΜΑΛΓΑΡΑ,ΗΓΟΥΜΕΝΙΤΣΑ,277,28
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΜΑΛΓΑΡΑ,ΚΗΠΟΙ,283,43
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΠΑΜΒΩΤΙΔΑ,ΗΓΟΥΜΕΝΙΤΣΑ,78,16
ΕΓΝΑΤΙΑ_ΟΔΟΣ,2025-12-28 23:00:00+02:00,ΠΑΜΒΩΤΙΔΑ,ΚΗΠΟΙ,30,13
ΚΕΝΤΡΙΚΗ_ΟΔΟΣ_Ε65,2025-12-28 23:00:00+02:00,ΣΟΦΑΔΕΣ,ΛΑΜΙΑ,32,13
ΚΕΝΤΡΙΚΗ_ΟΔΟΣ_Ε65,2025-12-28 23:00:00+02:00,ΣΟΦΑΔΕΣ,ΤΡΙΚΑΛΑ,15,4
ΚΕΝΤΡΙΚΗ_ΟΔΟΣ_ΠΑΘΕ,2025-12-28 23:00:00+02:00,ΑΓΙΑ ΤΡΙΑΔΑ,ΑΘΗΝΑ,105,5
ΚΕΝΤΡΙΚΗ_ΟΔΟΣ_ΠΑΘΕ,2025-12-28 23:00:00+02:00,ΑΓΙΑ ΤΡΙΑΔΑ,ΛΑΜΙΑ,88,24
ΝΕΑ_ΟΔΟΣ_ΙΟΝΙΑ,2025-12-28 23:00:00+02:00,ΚΛΟΚΟΒΑ,ΑΝΤΙΡΡΙΟ,104,41
ΝΕΑ_ΟΔΟΣ_ΙΟΝΙΑ,2025-12-28 23:00:00+02:00,ΚΛΟΚΟΒΑ,ΙΩΑΝΝΙΝΑ,85,23
ΝΕΑ_ΟΔΟΣ_ΙΟΝΙΑ,2025-12-28 23:00:00+02:00,ΤΕΡΟΒΟ,ΑΝΤΙΡΡΙΟ,50,18
ΝΕΑ_ΟΔΟΣ_ΙΟΝΙΑ,2025-12-28 23:00:00+02:00,ΤΕΡΟΒΟ,ΙΩΑΝΝΙΝΑ,43,18
